,Unnamed: 0,RespondentID,Have you seen any of the 6 films in the Star Wars franchise?,Do you consider yourself to be a fan of the Star Wars film franchise?,seen_ep1,seen_ep2,seen_ep3,seen_ep4,seen_ep5,seen_ep6,Please rank the Star Wars films in order of preference with 1 being your favorite film in the franchise and 6 being your least favorite film.,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,"Please state whether you view the following characters favorably, unfavorably, or are unfamiliar with him/her.",Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Which character shot first?,Are you familiar with the Expanded Universe?,Do you consider yourself to be a fan of the Expanded Universe?,Do you consider yourself to be a fan of the Star Trek franchise?,Gender,Age,Household Income,Education,Location (Census Region)
785,785,3289706727,True,True,True,True,True,True,True,True,3.0,6.0,5.0,2.0,1.0,4.0,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Han,No,,No,Female,18-29,"$0 - $24,999",Some college or Associate degree,Pacific
786,786,3289706550,True,NaN,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787,787,3289705195,True,True,True,True,True,True,True,True,4.0,5.0,6.0,1.0,3.0,2.0,Somewhat favorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Very unfavorably,Very unfavorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Han,No,,Yes,Male,45-60,"$100,000 - $149,999",Bachelor degree,East North Central
788,788,3289700288,True,True,True,True,True,True,True,True,5.0,6.0,1.0,2.0,3.0,4.0,Very favorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Somewhat unfavorably,Very unfavorably,Neither favorably nor unfavorably (neutral),Somewhat unfavorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Very favorably,Greedo,No,,No,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,New England
789,789,3289695941,True,True,True,True,True,True,True,True,4.0,5.0,6.0,1.0,3.0,2.0,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Very favorably,Han,No,,No,Male,45-60,"$25,000 - $49,999",Some college or Associate degree,East North Central
790,790,3289693023,True,True,True,True,True,True,True,True,5.0,6.0,4.0,2.0,1.0,3.0,Very favorably,Very favorably,Very favorably,Very unfavorably,Very favorably,Very favorably,Very favorably,Very favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Very unfavorably,Neither favorably nor unfavorably (neutral),Very favorably,Han,No,,No,Male,> 60,"$150,000+",Graduate degree,East North Central
791,791,3289692258,True,True,False,False,True,False,True,True,4.0,5.0,3.0,6.0,1.0,2.0,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Han,No,,Yes,Male,45-60,"$0 - $24,999",Bachelor degree,Middle Atlantic
792,792,3289689591,False,NaN,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,No,Female,30-44,"$150,000+",High school degree,East North Central
793,793,3289689331,True,False,True,True,True,True,True,True,1.0,2.0,3.0,6.0,5.0,4.0,Somewhat favorably,Somewhat favorably,Somewhat favorably,Very unfavorably,Somewhat favorably,Very unfavorably,Somewhat unfavorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Very favorably,Greedo,No,,Yes,Female,30-44,"$25,000 - $49,999",Bachelor degree,West North Central
794,794,3289688885,True,True,True,True,True,True,True,True,1.0,6.0,4.0,5.0,2.0,3.0,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Very favorably,I don't understand this question,No,,Yes,Male,> 60,"$50,000 - $99,999",Bachelor degree,West South Central
795,795,3289686202,False,NaN,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,
796,796,3289685200,False,NaN,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,No,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic
797,797,3289684323,True,True,True,True,True,True,True,True,6.0,3.0,4.0,2.0,1.0,5.0,Somewhat favorably,,Very favorably,Somewhat favorably,Very favorably,Somewhat favorably,Very favorably,Unfamiliar (N/A),Neither favorably nor unfavorably (neutral),Somewhat favorably,Very favorably,Very unfavorably,Unfamiliar (N/A),Very favorably,I don't understand this question,No,,No,Male,30-44,"$100,000 - $149,999",Graduate degree,West North Central
798,798,3289681765,True,True,True,True,True,True,True,True,3.0,4.0,5.0,6.0,2.0,1.0,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,I don't understand this question,No,,No,Male,45-60,"$50,000 - $99,999",Graduate degree,South Atlantic
799,799,3289680108,True,False,False,False,False,False,True,True,3.0,4.0,5.0,6.0,2.0,1.0,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Somewhat unfavorably,Very unfavorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Very unfavorably,Somewhat unfavorably,Very favorably,Greedo,No,,No,Female,30-44,,Some college or Associate degree,West South Central
800,800,3289673695,True,False,True,True,True,True,True,True,1.0,2.0,3.0,4.0,5.0,6.0,Very favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Somewhat favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Somewhat favorably,I don't understand this question,No,,Yes,Male,45-60,"$150,000+",Bachelor degree,East North Central
801,801,3289666523,False,NaN,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,No,Female,> 60,"$0 - $24,999",Some college or Associate degree,Pacific
